concern,argument
safety,"the vaccine moved way too quickly through the testing trials, so i don't think it has had long enough to become tested and safe"
safety,"No, risk is higher with low tested vac"
safety,It is only tested for 1yr
safety,I don’t think the Covid 19 vaccine has been thoroughly tested 
safety,It has had mixed reviews and is too new on the market to trust
safety,"Well, I read it hasn't been tested on pregnant women"
safety,I dont think the vaccine is safe
safety,yeah but they all didnt got enough time to test the vaccine properly 
safety,I'm not sure if it will be safe
safety,I am still not convinced about its safety
safety,I don’t trust doctors 
safety,Currently TTC and dont trust the vaccine
safety,I’m not sure whether they’re safe to have
safety,i don't want to take the COVID-19 vaccine because i believe it is not well tested.
safety,i still don't trust the vaccine developers 100%
safety,I don’t think it’s safe
safety,Is it safe for children?
safety,I will not have a unsafe vaccine in me. More control by the evil government. No .
safety,Vaccine is only safe if it's produced properly with thorough research 
safety,Because it hasn’t had enough testing 
safety,I don’t trust it 
safety,I'm being safe by staying in at the moment and letting the older generation get their vaccines now 
safety,but they were not tested for as long as vaccines are usually tested for
safety,the testing is never diverse
safety,"I still uncertain at the moment, but will take it when I am certain it is safe."
safety,this isn't a typical vaccine
safety,seems like human testing
safety,this isn't a normal vaccine
safety,i cant trust it 
high_survival_rate,This virus has a 99.9% survival rate
high_survival_rate,It is not a highly infectious deadly virus
high_survival_rate,Many many people survive from Covid and we only hear about the bad cases 
high_survival_rate,The virus has a high survival rate
high_survival_rate,Survival of the fittest
high_survival_rate,"the virus has greater than 99% survival rate, the ""vaccine"" is unnecessary"
high_survival_rate,COVID-19 has a 99% survival rate
high_survival_rate,Vaccine do bot have the 100 sussess rate.
high_survival_rate,touche. but covid has a super high survival rate
high_survival_rate,"I dont feel like i need it, covid has an aboce 95% survival rate. I would rather other people with compromised immune systems get it first"
high_survival_rate,i mean with a virus that has a 95% survival rate. we would achieved that regardless but yes this is a safer way. people getting the virus can make them immune
high_survival_rate,But is there enough evidence to prove it will not make people ill especially with most individuals having a 99.9% survivor rate when getting coronavirus?
high_survival_rate,COVID has a huge survival rate without vaccines anyway!
healthy,"I know that, but I'm in good health for my age"
healthy,I don't worry about my health anyway. I am a healthy person with a healthy lifestyle.
healthy,I am not worried about my health right now as I am healthy and I will only be effected by the virus in a small way like a cold or flu
healthy,"I really don't need it, my immune system is pretty much good"
healthy,I am not worried about my health anyway 
healthy,"I prefer my chances against Covid 19, I am young and healthy"
healthy,what about young and healthy individuals
healthy,"I don't believe that, I think that our immune system is strong and alot of the deaths that have been recorded have been people with other illnesses before Covid even appeared"
healthy,I don't.  They are all healthy. The vaccine could change that
healthy,"Not thank you, not convinced I'm not risking my health being injected. Will take my chances with covid "
healthy,"(this chatbot sucks at arguing because the responses aren't addressing what I'm saying).. Whether the vaccine works or not, I do not want to get it because I do not think it is necessary for me as a young and healthy individual to get the vaccine."
healthy,ha ha us anti vaxxers will be the only healthy ones left
healthy,I am healthy and not worried to catch COVID
healthy,I’d rather let my immune system develop naturally
healthy,"agree but the chances are very low. if all fat and sick people get vaccinated and the healthy ones dont, the percentage of dangerous cases will be very low and not overburden the healthcare system of any country"
healthy,I am young and healthy and also never get the flu vaccine
healthy,but the same is true for the flu - I am sure if you are young and healthy the chances are less likely to get long covid
healthy,I have strong immunity
healthy,That’s fair enough but for me I’m not worried about my health 
healthy,"I believe that those who cannot afford to contract the virus (e.g. immune compromised, prior health conditions, etc.) should receive it. However those with a healthy immune system should be able to choose and not have the vaccine forced upon them. Healthy people being exposed to it and building up a natural tolerance will also create herd immunity."
healthy,These people are not of age. These people are healthy and are living well. This has been due to the vaccination. Children were also mentioned in this article 
healthy,True but I am young and healthy and I don't think I will need the vaccine
healthy,There are many ways to create herd immunity. The healthy people who are not at risk for severe COVID-19 symptoms can generate antibodies naturally.
healthy,"I am not suggesting that we can assume all young and healthy people will be safe from COVID, but I could make the same argument for vaccines. There have been cases of people, both young and healthy, taking the COVID-19 vaccine and dying. And we do not know the reason for this."
healthy,It may not be totally necessary for my age group
healthy,I dont worry about my health or the health of my familyof my 
healthy,Because my body is healthy as it is
healthy,No thanks. I wont risk that in my body. I have no underlying health conditions and would rather build up my immune system
healthy,I have no underlying health conditions. Im a healthy
healthy,Yeah I understand but I’m healthy so should be fine not to have it
healthy,because they're perfectly healthy
healthy,Because I don't trust it and I do not need one since I'm healthy and young 
healthy,I do not find the virus dangerous since my immune system is strong 
healthy,My immune system is strong 
healthy,"i am not doubting that, just worried about my personal health"
healthy,im young
mutation,It might not vaccinate me against new variants.
mutation,but it is unclear how long the vaccine would protect us and whether its effective on the new variants
mutation,"That may be true but how do we know whats going to go further into the vaccine, especially if its like the flu and going to just mutate further as there are already other variants some that are more resilient to vaccines"
mutation,"Even against the new variants? For every vaccine breakthrough, there are plenty of mutations taking place that may or may not render them useless."
mutation,Then why don’t we vaccinate against all viruses
mutation,I will refuse the vaccine until there are viable studies that prove it effectively protects against all variants. It is just not effective enough right now
mutation,No as the virus will mutate and will cause another strain and outbreak
mutation,In addition we don’t know that these vaccines will cover all the variants or last longer than several months 
mutation,the new strains
mutation,But the vaccine wasn’t designed for the new strain of coronavirus  
mutation,We still have to worry about mutations 
mutation,"so we get the vaccine, and there is a new variant of the virus that does not react to the vaccines"
mutation,but there will be new variants
mutation,there have been news about a variant where the vaccine doesnt work
mutation,"What about other strains of the virus, will we not end up in a ""Common Cold"" scenario?"
mutation,even then the uk government is saying that there will need to further lockdowns and re dosing for the new variants 
mutation,are you taking the mutations to note?
mutation,i will have to worry if it mutates
mutation,We should always worry about our health. There are different variants occurring.
mutation,so this vaccine doesnt contain the virus?
mutation,"thta doesnt answer my question but ok. yea, what about mutations?"
mutation,Not with the new variant we won’t 
mutation,Unless it mutates to a variant when the vaccine won't work at all
mutation,Given all the mutations that are being found I am not sure how effective it is
mutation,But how do we know it will be effective on all the new mutations
mutation,because you havent told me about the potential inefficiency of the vaccine due to mutations
mutation,what if the virus mutates faster than the vaccine can cover it
mutation,but will it work against different variants?
mutation,are they also working to the new variant
mutation,what about the new variant 
mutation,"The flu vaccine needs to be redeveloped and administered every year to continue having an effect, as flu viruses mutate too. So yes, covid mutating would mean that the vaccine is redundant depending on what strain of the virus you have."
mutation,Technically not as there is a new variant now 
mutation,New variants mean it will still spread 
mutation,but the fact that the vaccine is only made for a certain strain of covid does not cover all the strains of covid now present in the society and different countries.
mutation,"What if we all got vaccinated and a new variant developed that was resistant, do we then keep having more vaccines "
mutation,ok. but what about all the new strains that are appearing? 
mutation,"But your argument does not consider new variants of the virus, of which there are currently 4000 or so recorded, which at any moment could evolve to a point in which current vaccines are rendered ineffective as a single variant could bypass the immune system"
mutation,But there has been a variant recently discovered in samples which could potentially bypass the immune system entirely rendering vaccines useless
mutation,What about the constantly changing variants
mutation,What about the South African strain
mutation,"not really, since the virus can evolve and mutate so theoretically i could still get a strain of the virus even after taking the vaccine"
mutation,"Until another variant arrives, then we’ll all be told we need another vaccine!!"
mutation,I may have to worry as people react differently both to the virus and the vaccine
mutation,But we do not have a vaccine for all strains of the virus
mutation,but one day it might mutate too much
fertility,"I don’t want to take it as I believe it’s been rushed, I feel weary of a vaccine that’s been created in 8 months. I am also a young female and I would like to have children in the near future, I do not want my fertility to be affected"
fertility,I will have to worry as it affects fertility 
fertility,I dont think its the right choice for me. I dont know what the compications may be onece i have children. 
fertility,Still not worth hurting my child over 
fertility,"No, is it said that the vaccine makes females to not be able to give birth in the future."
fertility,"I am also looking into getting pregnant by the end of this year, not definite yet, but thinking about it"
fertility,"Heard it may have implications for fertility, not planning on starting a family soon but will do in the future "
fertility,not so sure if you can call it safe if it can cause all sorts of long term side effects like infertility
fertility,id rather recover from long covid than sacrifice my fertility
fertility,because how can you not know whether it can affect fertility?
fertility,Because there’s not enough data on how it will affect fertility 
fertility,Having children is important to me
fertility,I've heard it can affects female fertility
fertility,"I would worry because, like I mentioned before, we don't know the long term effects. Eg. How it will affect fertility - women looking to get pregnant in the future"
fertility,There is not enough research on whether it affects fertility 
fertility,yes but if it affects fertility how will more people create families?
fertility,will it cause infertility
fertility,what if it causes birth deffects
already_had,maybe I already had covid
already_had,I’ve already contracted covid and developed immunity to it.
already_had,I have already had coronavirus so why would I get a jab protecting me from it 
already_had,I’ve had Covid already and didn’t have any symptoms
already_had,I had Covid already
already_had,I've already had COVID and therefore already have the antibodies
already_had,I think i have already had it in the summer
already_had,"maybe we should stop playing with ""agent orange"" and go back to church already."
already_had,ive already had covid to i need immunisation
already_had,i had covid
already_had,I had covid already. The vaccine worries me   more than getting it again
injecting_unknown_substance,Because I am only 19 and don’t want to be something in my body that I don’t have to 
injecting_unknown_substance,That's is just your opinion. Injecting foreign substance into my body without full knowledge of what could happen is much scarier to me.
injecting_unknown_substance,I would rather take the risk with my own immune system than take a risk with the foreign bodies from a vaccine
injecting_unknown_substance,Dont yryst any vaccines at all mosy contain toxic ingredients
injecting_unknown_substance,It is important. People shouldn't be pushed into something if they are not comfortable with it. It is important to know ALL and EVERY detail about vaccine you put into your body
injecting_unknown_substance,"Covid is around 99.6. % recoverable, why risk toxins in your body for a virus that is so low risk"
injecting_unknown_substance,I will still worry about my health if I inject something I am not sure it is safe into my body
injecting_unknown_substance,I don’t like putting things in my body 
injecting_unknown_substance,"Don't care! Will not put poison in my body, it has been over a year and I think I have already had it "
injecting_unknown_substance,because I am sceptical about the vaccine ingredients
injecting_unknown_substance,I just simply don't want to injection something into my body if I don’t believe in it
injecting_unknown_substance,i dont trust the ingredient that are used to make the vaccine 
injecting_unknown_substance,because it is essentially injecting the virus into your body
injecting_unknown_substance,i don't want the government to control me with technology injected into my body. my body is a temple. 
injecting_unknown_substance,But do you realise whats actually inside it?
injecting_unknown_substance,Yes I understand but I don't want to put something in my body which I don't trust 
injecting_unknown_substance,The vacine is extremely new and could have anything inside of it
injecting_unknown_substance,Because I don't like needles and I am wary of putting things into my body that are unknown
natural_herd_immunity,Vaccines are not needed to achieve herd immunity.
natural_herd_immunity,Allowing the virus to spread without a vaccine would also create herd immunity.
natural_herd_immunity,We can achieve herd immunity through our own bodies defence 
natural_herd_immunity,just catch it to get heard immunity?
natural_herd_immunity,"No, the virus would achieve herd immunity of its own accord"
natural_herd_immunity,This is false. A vaccine is not the only way to create herd immunity. The development of herd immunity is a biological phenomenon that occurs without pharmacological intervention.
natural_herd_immunity,You do not need a vaccine to achieve herd immunity.
natural_herd_immunity,We could also get herd immunity by not taking the vaccine and letting are own immune systems work as they should.
natural_herd_immunity,Herd immunity happens naturally.
natural_herd_immunity,Herd immunity can be achieved without the vaccine
natural_herd_immunity,I believe that herd immunity can be achieved without myself getting the vaccine and the potential negative risks that come along with it.
natural_herd_immunity,We can also create herd immunity by catching COVID and let our bodies fight it naturally
natural_herd_immunity,we can gain herd immunity from catching the virus normally
natural_herd_immunity,we can also just all get the virus and get it over with finally and create herd immunity this way
flu,"I never get the flu jab, so I don't feel I need a Covid Vaccine either."
flu,i only take the necessary vaccines. I also never take the flu shot
flu,I’m happy to do that anyway. Flu kills thousands every year and we don’t do anything about it
flu,They say that about flu but I don’t get the flu jab either so why would I get the Covid vaccine
flu,I am scared of needles and only take vaccines that I believe are absolutely necessary. I never got the flu shot and I doubt I will take this one
flu,"The last time I had a flu vaccine, I woke up in the middle of the night with a panic attack "
flu,Fair enough but I have never had the flu jab 
long_term_effects,It is new so long term side effects are unavailable.
long_term_effects,"As it's a new vaccine, the potential long-term side effects are not known."
long_term_effects,I don't know exactly the long term effect on the people body's
long_term_effects,Not sure of the long term risks
long_term_effects,Not enough research for the long term side effects
long_term_effects,im 28 years old it will take long time i dont know what they do 
long_term_effects,Long term effects have not been possible to test.
long_term_effects,"It's not made like other vaccines before it, so really don't know what the (long-term) effects are, just on that point."
long_term_effects,It hasnt been tested for long term effects
long_term_effects,no long term studies to show the effects 
long_term_effects,I don't want to stand in those long lines waiting.
long_term_effects,because it was rushed through and we dont know the long term side effects.
long_term_effects,I have already had covid once.  Why risk putting something in my body that I do not know the long term effects of in 20 years? No thanks.
long_term_effects,It has not been available for long enough to know the long term effects of the vaccine.
long_term_effects,I dont think I am at high risk of any long term effects
long_term_effects,Long term side effects are unknown.
long_term_effects,I believe the covid-19 vaccine does not stop the spreading and it's said that it will not maintain immunity in a person for very long. So it means I would need to take fairly unconventional vaccines regularly without knowing the long term side effects.
long_term_effects,I want to wait for check if there is a danger in long term after vaccine
long_term_effects,Long-term negative effects are unknown
long_term_effects,"It hasnt been a vaccine or virus that has been around long enough to know if its 100% safe, I have 2 children and so feel i cant risk it"
long_term_effects,I dont know the long term effects
long_term_effects,Concerned about any long term side effects
long_term_effects,I'm going to wait at least a year to see the long term effects (if there are any) on people.
long_term_effects,I think there are very few vaccines with actual long term data that rules out cancer.
side_effects,There's an alarming amount of footage of people suffering from severe side-effects.
side_effects,Unsure of the side effects
side_effects,The side effects of COVID-19 vaccination are unknown.
side_effects,I am afraid of possible side effects in the coming years
side_effects,Side effects from the vaccine Possible death 
side_effects,possible side-effects (e.g. not know input on future pregnancy )
side_effects,after effects
side_effects,"
It is not 100% safe, there are already cases of people with secondary problems or death."
side_effects,Im afraid of side  effects
side_effects,Would like the side effects to be more clear.
side_effects,I am worried about negative reaction.
side_effects,i feel that it might have side effects
side_effects,I am afraid of side effects
side_effects,"Too new, we don't know if there are side effects"
side_effects,Drugs have nasty side effects
side_effects,Side effects
side_effects,risk of adverse effects
side_effects,"My primary reason for not getting a vaccine, this type of vaccine was not thoroughly tested for a prolonged time.  Tests were hastily done to put out a vaccine and these companies did not think of the side effects that can occur in days to come."
side_effects,Worried about short term Side effects 
side_effects,Im not sure about side effects
side_effects,I don't know the side effects yet.
side_effects,Don't want to suffer from secondary effects.
side_effects,I want to wait to see what effect it has on others before I put it on.
side_effects,Afraid of undiscovered side effects
side_effects,People already have got side effects.
side_effects,I understand there may be side effects from the vaccine.
side_effects,possible side effects in the future that we dont know about yet
side_effects,I am not sure about the possible side effects
side_effects,Very uncomfortable with the use of mRNA in vaccines and its side effect
side_effects,Not sure about the lasting side effects.
side_effects,There isn't enough data about the effect on baby
side_effects,"Vaccines have side effects, i want to protect my body."
side_effects,"the first vaccines are a test, many people will have negative effects and from there better vaccines will come out
"
side_effects,"once the vaccine has proven to be harmless in terms of side effects, i'm fine with i.t"
side_effects,"Its too new, lots of people reporting side effects but it doesnt reach the media - check the adverse reactions logs "
side_effects,side effects
side_effects,some people have severe side effects after vaccination which is worrying 
safety,"I question the safety, and necessity, of the vaccine. "
safety,It is not well tested.
safety,"i have M.E and the effects of this vaccine with this particular complex condition have yet to be truly known. I'm pro vaccine, but am personally gonna wait a bit longer than most til i know it is safe for people with my particular condition."
safety,too new to trust the efficacy of the vaccine 
safety,"Lots of people say that the vaccine is not well tested and people are being treated as guinea pigs. I rather disagree, but frankly, I'm not sure what to think."
safety,It is not safe
safety,I want it to be tested more and on a longer term.
safety,I dont trust it 
safety,Just want to make sure its safe
safety,I don't trust the vaccine.
safety,I am unsure if the vaccines have been properly tested and are safe and efficient. 
safety,Its not field tested enough
safety,it's dangerous
safety,"I was already once infected with covid, but not diagnosed. Likely Im' going to do antigen test test to confirm my suspicions"
safety,Do not believe that the vaccine has been fully tested on human and all the side effects isn't known.
safety,I still have concerns about safety after such a short production and testing time and need more reassurance and evidence of this.
safety,I do not trust vaccines!
safety,I don't trust their safety.
safety,I am not confident that it has been tested properly.
safety,I don't trust the vaccine.
safety,I do not trust its effectiveness.
safety,"is it safe to get the vaccine , "
safety,insufficient testing
safety,It hasnt been tested enough 
safety,I have a history of anaphylaxis so the vaccine might be unsafe for me. 
safety,I don't trust a cinese vaccine at all
safety,I don't trust their effectiveness.
safety,it isn't a vaccine....
safety,I don't trust it yet
safety,Safety of the vaccine cannot be guaranteed.
safety,I do not trust the WHO
fast_development,they made the vaccine very quick
fast_development,It was produced too quickly.
fast_development,Seems abit rushed out
fast_development,"There was a lot of pressure to get these vaccines made and approved as quickly as possible, so I'm not completely sure about the evaluation of secondary effects"
fast_development,A good vaccine usualy takes about 10 years to develop. These covid-19 vaccines came up after a year of development. I do not trust the security of it.
fast_development,"For clarifications, I am not against taking it, I'm just undecided at the moment. 


The rushed process makes me feel uneasy. I don't pretend to know anything at all about vaccines but it has been said to me that it takes years for vaccines to be finalized and approved under normal circumstances. More specifically, I would like to hear some assurances regarding the long-term effects ideally made by a trusted source. Even with a thorough internet search I could not find anything published by an organization not involved in the development/distribution process excluding those associated with the government. If I don't know what happens to those who have been tested with the vaccine in 4 years, I don't know what will happen to me in 4 years after allowing the vaccine inside my body."
fast_development,I do not want to get a COVID-19 vaccine because I feel that it was still in the trial phase and it was rushed.
fast_development,It's not that I definitely don't want one but given how quickly they've been rolled out I'd be concerned if they are actually effective.
fast_development,I don't trust a rushed vaccine.
fast_development,"Vaccine trials and production were rushed very quickly, and possible side effects may not be seen in the short term."
fast_development,development was rushed
fast_development,Rushed research into the vaccine
fast_development,"Too little  experiments, too fast to get the vaccine instead to do more trail and wait longer  "
fast_development,"I don't trust a vaccine made in such a short time. Even with the many resources given, you can't just throw money at something to get it done, some things need time."
fast_development,"The vaccines were developed through a rush process. There are 3 of them and we don't really know what's better, what's not. It's being pushed either way. Whether it's one dose or two dose. "
fast_development,I have some concerns about possible side effects too with such a new vaccine that has been rushed through. Therefore in some respects I would sooner not get it too quickly as you have longer to evaluate impact of the vaccine if any in a negative way.
fast_development,This vaccine was invented a little quickly and I'm a bit worried for now.
fast_development,I don't trust this new vaccine because it was developed too quickly.
fast_development,I feel that the process and roll out has been rushed.
fast_development,The vaccination was created incredibly quickly.  Usually vaccinations are in the making for years before they are rolled out to the public.
fast_development,its been rushed through
healthy,I am young and I don't feel like getting a vaccine
healthy,I am young and very healthy.
healthy,I am healthy and 34 years old. So even if get infected the chances that I will need to go to a hospital are very few.
healthy,II am a young and healthy person
healthy,I don't consider it necessary since covid is just a strain of flu and I have good immune system. 
healthy,It alters your DNA/immune system.
healthy,I am young and probably there won't be serious consequences if I get sick from covid-19.
healthy,"I don't need it as I believe I am healthy, and capable of fighting it myself."
healthy,Im in good health whole year
healthy,"I'm young, healthy and exercise regularly, there aren't many chances of me getting serious symptoms if I get covid."
healthy,Good luck with your pointless propaganda and FUCK. YOU.
mutation,Too much mutations of this virus 
mutation,vaccines unlikely helps for new variant of covid virus according to some uk scientists 
mutation,"The virus mutates and so any vaccine is only temporarily effective. Seems like a waste of resources and effort to get a shot that will only last a few months. Again, I feel the same way about the flu vaccine."
mutation,"The virus can keep mutating, rendering the vaccine ineffective."
mutation,"I don't like it's being pushed so heavily on people when it's very hard to trust information about it when there's such a strong profit motive and politics behind it. They're downplaying reactions people have gotten as ""rare"" or ""unrelated."" And there's mixed messages--right now, a week ago we were told it'll protect against all variants of coronavirus...now I'm reading that everyone needs to take it soon or it won't work on variants that are being discovered. Also, some people get the virus anyway...it's claimed that it takes 7 days for the vaccine to start protecting a person.  "
mutation,Doubt that it will even work against all the new strains and variants that are coming out.
flu,"I don't think COVID-19 is serious enough for me to go out of my way to get a vaccine. For example, I get my Tetanus shots but I've never gotten shots for the seasonal flu because I can deal with that if I do get sick."
flu,"I don't get vaccines for illnesses that are very unlikely to kill or disfigured me. For things like the corona virus and the flu, I'd rather get sick and recover with natural immunity. Immune systems need to get exercise in order to stay strong."
flu,I never get a flu vaccine because the one time I did I got the flu
flu,"i do not get flu jab yearly, why should i get this one"
flu,I have never even got a flu shot so I'm definitely not getting this vaccine. 
flu,covid19 is a coronavirus which is a stronger version of the common cold which is a coronavirus. if you cant cure the common cold or all flu then how can you cure a disease which is along the similar lines and has been around a shorter time
flu,HAVE NOT TAKEN FLU SHOT FOR 10 YEAR AND HAVE NOT GOTTEN THE FLU. IF THIS VACCINE BECOMES A YEARLY SHOT I AM VERY UNLIKELY TO GET IT EVERY YEAR.  
flu,Regular flu has a higher death rate than COVID-19.
flu,ive had covid19 and it was weaker than any flu i have had.
